epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.954,1.6257,3.21859,1.52014,0.00638,0.39204,0.12034,0.06323,1.54116,3.65551,1.4557,0.000463102,0.000463102,0.000463102
2,758.092,1.55423,2.51493,1.42081,0.54725,0.21798,0.1992,0.09318,1.85126,3.13306,1.75023,0.000920834,0.000920834,0.000920834
3,1002.82,1.52859,2.4093,1.44726,0.63806,0.23845,0.25836,0.12542,1.60763,3.15664,1.60354,0.0013597,0.0013597,0.0013597
4,1251.89,1.53958,2.31127,1.43557,0.5724,0.21852,0.19129,0.09803,1.67646,4.50974,1.69497,0.00134412,0.00134412,0.00134412
5,1489.8,1.50913,2.2183,1.41315,0.24704,0.28932,0.16916,0.08595,1.74344,3.29357,1.60535,0.00131582,0.00131582,0.00131582
6,1727.18,1.4931,2.10224,1.39973,0.31125,0.34445,0.27343,0.13295,1.67172,2.80754,1.56274,0.00128753,0.00128753,0.00128753
7,1965.45,1.47415,2.0509,1.361,0.41183,0.38786,0.35116,0.19215,1.54299,2.58181,1.52598,0.00125923,0.00125923,0.00125923
8,2200.91,1.43286,1.93135,1.37038,0.41458,0.30928,0.3071,0.16444,1.61181,2.60598,1.56816,0.00123094,0.00123094,0.00123094
9,2433.67,1.38322,1.8154,1.35497,0.38682,0.4128,0.37394,0.208,1.48976,2.12958,1.428,0.00120265,0.00120265,0.00120265
10,2669.44,1.42934,1.84072,1.33821,0.28017,0.39259,0.26518,0.14416,1.58238,2.43208,1.47619,0.00117435,0.00117435,0.00117435
11,2893.46,1.41913,1.84699,1.34799,0.2869,0.32661,0.25329,0.13362,1.65111,2.49163,1.57088,0.00114606,0.00114606,0.00114606
12,3111.86,1.35089,1.7772,1.30779,0.49168,0.39207,0.39075,0.20902,1.58176,2.06562,1.51021,0.00111776,0.00111776,0.00111776
13,3330.95,1.36019,1.67199,1.28665,0.38231,0.46257,0.40629,0.22975,1.4944,1.9607,1.40624,0.00108947,0.00108947,0.00108947
14,3562.82,1.35783,1.70624,1.32899,0.37613,0.48542,0.38138,0.21084,1.48449,1.96446,1.39819,0.00106118,0.00106118,0.00106118
15,3838.95,1.32655,1.66927,1.28971,0.40616,0.401,0.38728,0.22376,1.45914,1.96191,1.38891,0.00103288,0.00103288,0.00103288
16,4065.45,1.28886,1.60186,1.25104,0.39695,0.42906,0.35319,0.1979,1.47754,2.00057,1.39683,0.00100459,0.00100459,0.00100459
17,4326.58,1.27208,1.52701,1.24081,0.46879,0.5005,0.45323,0.26162,1.40818,1.80626,1.3681,0.000976293,0.000976293,0.000976293
18,4550.95,1.25884,1.54117,1.25939,0.4562,0.48495,0.44416,0.25133,1.47772,1.78888,1.38101,0.000947999,0.000947999,0.000947999
19,4808.27,1.27638,1.53392,1.25549,0.41715,0.41138,0.39846,0.23361,1.43051,1.88895,1.37812,0.000919704,0.000919704,0.000919704
20,5033.64,1.21523,1.46492,1.22217,0.39682,0.45887,0.39352,0.2278,1.43624,1.85588,1.39285,0.00089141,0.00089141,0.00089141
